listing_id,listing_title,price,vehicle_model_year,vehicle_condition,vehicle_tax_type,vehicle_brand,vehicle_model,vehicle_mileage_km,vehicle_fuel_type,vehicle_transmission,vehicle_engine_cc,vehicle_color,province,district,seller_type,view_count,posted_at,scraped_at,is_premium,listing_url
13517321,លក់បន្ទាន់ Prius 05 Half Ful,8400.0,2005,បានប្រើ,ផ្លាកលេខ,Toyota,Prius,,ហាយប្រីត/Hybrid,ស្វ័យប្រវត្តិ,,ពណ៌ប្រាក់,Phnom Penh,Boeng Keng Kang,store,0,2026-05-14T08:35:58+00:00,2026-08-13T09:41:43.708442+00:00,,https://www.khmer24.com/post-adid-13517321
13255611,风神L7 PHEV马赫电混技术1400km续航,22568.0,2026,ថ្មី,ក្រដាសពន្ធ,GTV,KESSOR,,,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Tuol Kouk,store,0,2026-03-06T02:18:43+00:00,2026-08-17T01:37:45.684515+00:00,,https://www.khmer24.com/post-adid-13255611
13894853,Corolla 03leម្ចាសដេីមសំនុំសុីន 7500$ចរចារ,7500.0,2003,បានប្រើ,ក្រដាសពន្ធ,Toyota,Corolla,,,,,ពណ៌មាស,Phnom Penh,Chamkar Mon,store,0,2026-08-17T01:17:34+00:00,2026-08-17T01:37:45.684515+00:00,,https://www.khmer24.com/post-adid-13894853
13254661,FORD EVEREST,34800.0,2020,បានប្រើ,ផ្លាកលេខ,Ford,Everest,,ម៉ាស៊ូត,ស្វ័យប្រវត្តិ,,ពណ៌ប្រាក់,Phnom Penh,Chamkar Mon,store,0,2026-03-05T14:00:31+00:00,2026-08-16T15:21:23.095489+00:00,,https://www.khmer24.com/post-adid-13254661
13790529,Mercedes-Benz,6300.0,2001,បានប្រើ,ផ្លាកលេខ,Mercedes-Benz,ផ្សេងៗ,,សាំង,,,ពណ៍ខ្មៅ,Phnom Penh,Preaek Pnov,individual,0,2026-07-20T07:48:23+00:00,2026-08-13T09:41:55.369949+00:00,,https://www.khmer24.com/post-adid-13790529
13573219,Lexus lx600 F-Sport 2022,169999.0,2022,បានប្រើ,ផ្លាកលេខ,Lexus,LX600,,សាំង,,,ពណ៌ស,Phnom Penh,Tuol Kouk,store,0,2026-05-27T06:29:25+00:00,2026-08-17T01:37:52.316359+00:00,,https://www.khmer24.com/post-adid-13573219
13648956,មកដលហើយបងៗ,25900.0,2015,បានប្រើ,ផ្លាកលេខ,Mazda,BT50 Pro,,ម៉ាស៊ូត,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Saensokh,store,0,2026-06-14T23:25:17+00:00,2026-08-13T09:41:51.892378+00:00,,https://www.khmer24.com/post-adid-13648956
13720259,ឡានលក់ជិះលក្ខណះគ្រូសារ,27800.0,2015,បានប្រើ,ផ្លាកលេខ,Lexus,NX200t F Sport,,,ស្វ័យប្រវត្តិ,,ពណ៌ប្រផេះ,Phnom Penh,Chamkar Mon,individual,0,2026-07-02T04:55:24+00:00,2026-08-13T09:41:49.188846+00:00,,https://www.khmer24.com/post-adid-13720259
13768192,Rav4 2001 ប៉ុងមួយ​ បេីកដំបូល,9000.0,2001,បានប្រើ,ផ្លាកលេខ,Toyota,RAV4,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Kamboul,store,0,2026-07-14T06:01:55+00:00,2026-08-17T01:37:58.001334+00:00,,https://www.khmer24.com/post-adid-13768192
13435567,TOYOTA INNOVA 2020,23200.0,2020,បានប្រើ,ផ្លាកលេខ,Toyota,Innova,,ម៉ាស៊ូត,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Mean Chey,store,0,2026-04-24T03:28:20+00:00,2026-08-17T01:37:59.895037+00:00,,https://www.khmer24.com/post-adid-13435567
13880783,Geely Galaxy L6,19999.0,2024,ថ្មី,ក្រដាសពន្ធ,GEELY,ផ្សេងៗ,,អគ្គិសនី,ស្វ័យប្រវត្តិ,,ពណ៌ស,Phnom Penh,Chbar Ampov,individual,0,2026-08-13T02:09:15+00:00,2026-08-16T15:21:24.815499+00:00,,https://www.khmer24.com/post-adid-13880783
13559197,ដំណឹងលក់ឡានស្អាត Honda CR-V ឆ្នាំ03 បើកដំបូល​មាន(ABS),7700.0,2003,បានប្រើ,ផ្លាកលេខ,Honda,CR-V,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ប្រាក់,Phnom Penh,Por Senchey,store,0,2026-05-24T02:48:02+00:00,2026-08-13T09:41:52.808064+00:00,,https://www.khmer24.com/post-adid-13559197
13824184,Limitedប៉ុង1ហ្វូលអប់សិនរំលស់200ជាង/ខែរ,12500.0,2002,បានប្រើ,ផ្លាកលេខ,Toyota,Highlander,,សាំង,ស្វ័យប្រវត្តិ,,ពណ៌ប្រផេះ,Phnom Penh,Saensokh,store,0,2026-07-29T05:11:55+00:00,2026-08-17T01:37:45.684515+00:00,,https://www.khmer24.com/post-adid-13824184
